name,product_id,sku,price_current,price_old,discount_amount,installment_monthly,installment_term,quantity,review_count,rating,is_online,campaign,url,image_url,page
Planşet Lenovo Idea Tab Plus 12GB/256GB Luna Grey + Pen and Keyboard,129139,226406,849.99,959.99,110,53.33,18 ay,11,0,0,False,,https://www.bakuelectronics.az/az/mehsullar/planshet-lenovo-idea-tab-plus-12256gb-luna-grey-pen-folio-keyboard-226406,https://media.bakuelectronics.az/media/inventImages/Lenovo_İdea_Tab_Plus_12GB256GB_1.webp,1
Planşet Apple iPad Air 13-inch Wi-Fi 128GB Starlight 2025,128500,225618,2149.99,2399.99,250,358.33,6 ay,6,0,0,False,,https://www.bakuelectronics.az/az/mehsullar/planshet-ipad-13-inch-ipad-air-128gb-starlight-wifi-2025-225618,https://media.bakuelectronics.az/media/inventImages/iPad_Air_13-inch_Wi-Fi_128GB_Starlight_2025_1.webp,1
Planşet HUAWEI MatePad 12X 12GB/256GB White Wi-Fi,128084,225208,1149.99,1299.99,150,191.66,6 ay,53,0,0,False,,https://www.bakuelectronics.az/az/mehsullar/planshet-huawei-matepad-12x-12256gb-white-wifi-only-225208,https://media.bakuelectronics.az/media/inventImages/HUAWEI_MatePad_12X_4.webp,1
Planşet Apple iPad Air 11-inch 256GB Starlight Wi-Fi (2025),127805,224932,1889.99,2189.99,300,121.67,18 ay,2,0,0,False,,https://www.bakuelectronics.az/az/mehsullar/planshet-ipad-11-inch-ipad-air-256gb-starlight-wifi-2025-224932,https://media.bakuelectronics.az/media/inventImages/Planşet_Apple_iPad_Air_11-inch_256GB_Starlight_WiFi_2025.webp,1
Planşet Samsung Galaxy Tab A11 Plus 6GB/128GB Wi-Fi Grey (X230),127665,224791,369.99,429.99,60,61.66,6 ay,1,0,0,False,,https://www.bakuelectronics.az/az/mehsullar/planshet-samsung-x230-6gb128gb-wifi-grey-224791,https://media.bakuelectronics.az/media/inventImages/Samsung_Galaxy_Tab_A11_Plus_6GB128GB_LTE_1.webp,1
Planşet Apple iPad Air 13-inch Wi-Fi 256GB Blue 2025,127323,224436,2419.99,2699.99,280,403.33,6 ay,5,0,0,False,,https://www.bakuelectronics.az/az/mehsullar/planshet-ipad-13-inch-ipad-air-256gb-blue-wifi-2025-224436,https://media.bakuelectronics.az/media/inventImages/Apple_iPad_Air_13-inch_WiFi_256GB_Blue_2025_1.webp,1
Planşet HUAWEI MatePad Pro 12.2 12GB/256GB Black Wi-Fi,127117,224126,1449.99,1699.99,250,241.66,6 ay,56,0,0,False,,https://www.bakuelectronics.az/az/mehsullar/planshet-huawei-matepad-pro-122-inch-12256gb-black-wifi-only-224126,https://media.bakuelectronics.az/media/inventImages/HUAWEI_MatePad_Pro_12.2_12GB256GB_Black_Wifi_8.webp,1
Planşet HUAWEI MatePade 11.5 8GB/128GB Space Grey Wi-Fi  Only,127116,224125,579.99,649.99,70,96.66,6 ay,52,0,0,False,,https://www.bakuelectronics.az/az/mehsullar/planshet-huawei-matepad-115-8128gb-space-grey-wifi-only-224125,https://media.bakuelectronics.az/media/inventImages/HUAWEI_MatePade_11.5_8GB128GB_Space_Grey_Wifi_Only_10.webp,1
Planşet HUAWEI MatePad 11.5 8GB/128GB Space Grey WiFi Only+Keyboard,127115,224124,719.99,799.99,80,120,6 ay,23,0,0,False,,https://www.bakuelectronics.az/az/mehsullar/planshet-huawei-matepad-115-8128gb-space-grey-wifi-only-keyboard-224124,https://media.bakuelectronics.az/media/inventImages/HUAWEI_MatePad_11.5_8GB128GB_5.webp,1
Planşet Lenovo Idea Tab 8GB/256GB Pen+Folio Grey,126622,223630,599.99,689.99,90,100,6 ay,2,0,0,False,,https://www.bakuelectronics.az/az/mehsullar/planshet-lenovo-idea-tab-8256gb-grey-folio-pen-223630,https://media.bakuelectronics.az/media/inventImages/Lenovo_Idea_Tab_8GB256GB_PenFolio_Grey__4.webp,1
