name,product_id,price_current,price_old,discount_pct,installment_monthly,installment_term,url,image_url,page
Planşet Honor Pad X7 4GB/128GB Wi-Fi Grey,1378603,169.00,199.00,-15 %,7.05,24 ay,https://birmarket.az/product/1378603-planshet-honor-pad-x7-4gb-128gb-wi-fi-grey,https://strgimgr.b-cdn.net/img/product/280/cfd329ea-51db-4fe3-a8d8-1138e2f9bf66.jpeg,1
Planşet Honor Pad X7 4GB/128GB LTE Gray,1474268,199.00,249.00,-20 %,8.30,24 ay,https://birmarket.az/product/1474268-honor-pad-x7-lte-4-gb-128-gb-gray,https://strgimgr.b-cdn.net/img/product/280/ab3364f0-e03a-4d09-98e3-62ef1e72eff8.jpeg,1
Planşet Xiaomi Redmi Pad 2 8GB/256GB Graphite Gray,1301154,336.00,500.00,-33 %,112.00,3 ay,https://birmarket.az/product/1301154-planshet-xiaomi-redmi-pad-2-8gb-256gb-graphite-gray,https://strgimgr.b-cdn.net/img/product/280/765fb592-f608-4ee4-90cd-282a58805bfa.jpeg,1
Planşet Xiaomi Poco Pad M1 8GB/256GB Blue,1892266,,619.00,,206.34,3 ay,https://birmarket.az/product/1892266-poco-pad-m1-8gb-256gb-blue,https://strgimgr.b-cdn.net/img/product/280/873b2571-34c1-4a0b-a490-d92dc739cca6.jpeg,1
"Planşet Apple iPad A16 11"" 2025 Wi-Fi 128 GB Silver (MD3Y4)",1125795,750.00,800.00,-6 %,41.67,18 ay,https://birmarket.az/product/1125795-planshet-apple-ipad-a16-11-2025-wi-fi-128-gb-silver-md3y4,https://strgimgr.b-cdn.net/img/product/280/d94538a5-cc59-40f0-b923-4fe1294864be.jpeg,1
"Planşet Apple iPad A16 11"" 2025 Wi-Fi 128 GB Blue (MD4A4)",1125815,750.00,790.00,-5 %,250.00,3 ay,https://birmarket.az/product/1125815-planshet-apple-ipad-a16-11-2025-wi-fi-128-gb-blue-md4a4,https://strgimgr.b-cdn.net/img/product/280/19a30fc8-679e-49cf-8afd-66824ee630d0.jpeg,1
Planşet Xiaomi Redmi Pad 2 8/256GB Graphite Gray,1328196,340.00,450.00,-24 %,113.34,3 ay,https://birmarket.az/product/1328196-xiaomi-redmi-pad-2-8-256gb-graphite-gray,https://strgimgr.b-cdn.net/img/product/280/d9b6743f-1934-4d7e-a9fd-1d654e4e3c14.jpeg,1
Planşet Honor Pad 10 5G 8GB/256GB Gray Keyboard inbox (HEY3-N09),1378631,669.00,849.99,-21 %,27.88,24 ay,https://birmarket.az/product/1378631-planshet-honor-pad-10-5g-8gb-256gb-gray-keyboard-inbox-hey3-n09,https://strgimgr.b-cdn.net/img/product/280/69bccb2b-e2f7-4077-be6e-1a6a1f64c70c.jpeg,1
"Planşet Xiaomi Redmi Pad 7 11.2"" Wi-Fi 8GB /256GB Grey",1146033,669.00,899.00,-26 %,37.17,18 ay,https://birmarket.az/product/1146033-planshet-xiaomi-redmi-pad-7-11-2-wi-fi-8gb-256gb-grey-6941812714652,https://strgimgr.b-cdn.net/img/product/280/b24275bd-17a8-452a-b193-6a560221bcf1.jpeg,1
Planşet Telzeal P105 Dual SIM Black,1937083,,888.00,,49.34,18 ay,https://birmarket.az/product/1937083-planshet-telzeal-105-pc-10-1-dual-sim-black,https://strgimgr.b-cdn.net/img/product/280/30ef441b-bb15-4ed8-ac97-b656aaee17c5.jpeg,1
