name,product_id,price_current,price_old,badges,is_new,url,image_url,page
HONOR Pad X9a LTE (8/256 GB) Grey,8884,499.00,649.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,True,https://bytelecom.az/az/products/honor-pad-x9a-lte-8-256-gb-grey,https://bytelecom.az//media/2026/02/12/product_images/43299/pad-x9a-gray-1.jpg,1
Samsung Galaxy Tab A 8.0 LTE (2/32GB) SM-T295,8811,149.00,249.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/samsung-galaxy-tab-a-80-lte-232gb-sm-t295,https://bytelecom.az//media/2025/12/26/product_images/42862/tab-a-8.0-silver-1.jpg,1
Xiaomi Redmi Pad 2 Pro Wi-Fi (8/256 GB),8784,639.00,709.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/xiaomi-redmi-pad-2-pro-wi-fi-8256-gb,https://bytelecom.az//media/2025/12/15/product_images/42671/pad-2-pro-gray-1.jpg,1
HONOR Pad X7 Wi-Fi (4/128 GB),8780,219.00,299.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/honor-pad-x7-wi-fi-4128-gb,https://bytelecom.az//media/2025/12/10/product_images/42590/pad-x7-gray-1.jpg,1
HONOR Pad X9a Wi-Fi (8/256 GB),8779,439.00,489.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/honor-pad-x9a-wi-fi-8256-gb,https://bytelecom.az//media/2025/12/10/product_images/42580/pad-x9a-gray-1.jpg,1
HONOR Pad X9a Wi-Fi (6/128 GB),8778,389.00,449.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/honor-pad-x9a-wi-fi-6128-gb,https://bytelecom.az//media/2025/12/10/product_images/42570/pad-x9a-gray-1.jpg,1
HONOR Pad X8a LTE (4/64 GB),8777,269.00,339.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/honor-pad-x8a-lte-464-gb,https://bytelecom.az//media/2025/12/10/product_images/42560/pad-x8a-gray-1.jpg,1
HONOR Pad X9a LTE (8/256 GB) + Keyboard,8776,559.00,609.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/honor-pad-x9a-lte-8256-gb-keyboard,https://bytelecom.az//media/2025/12/10/product_images/42548/pad-x9a-gray-1.jpg,1
HONOR Pad 10 5G (8/256GB) + Keyboard,8775,739.00,949.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/honor-pad-10-5g-8256gb-keyboard,https://bytelecom.az//media/2025/12/10/product_images/42534/pad-10-gray-1.jpg,1
Samsung Galaxy Tab A11 Wi-Fi (4/64 GB),8758,249.00,279.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/samsung-galaxy-tab-a11-wi-fi-464-gb,https://bytelecom.az//media/2025/12/08/product_images/42328/tab-a11-graphite-1.jpg,1
Samsung Galaxy Tab A9 LTE (8/128 GB),8597,349.00,399.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/samsung-galaxy-tab-a9-lte-8128-gb,https://bytelecom.az//media/2025/10/20/product_images/40938/tab-a9-graphite-1.jpg,1
"iPad Air 13"" (M3) 128GB Wi-Fi+Cellular",8471,2449.00,2599.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/ipad-air-13-m3-128gb-wi-ficellular,"https://bytelecom.az//media/2025/09/11/product_images/40283/13-inch-iPad-Air-Wi-Fi-Starlight,Model-A3269-1.jpg",1
Xiaomi Redmi Pad 2 (8/256GB),8326,399.00,439.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/xiaomi-redmi-pad-2-8256gb,https://bytelecom.az//media/2025/08/11/product_images/39324/redmi-pad-2-green-1.jpg,1
HONOR Pad X9a LTE (6/128 GB),8048,419.00,519.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/honor-pad-x9a-lte-6128-gb,https://bytelecom.az//media/2025/07/16/product_images/38464/pad-x9a-gray-1.jpg,1
HONOR Pad V9 (8/256 GB) (Case+Pen),7939,799.00,999.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,True,https://bytelecom.az/az/products/honor-pad-v9-8256-gb-casepen,https://bytelecom.az//media/2025/05/16/product_images/37446/pad-v9-1.jpg,1
Xiaomi Redmi Pad 7 Wi-Fi (8/256 GB),7853,719.00,879.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/xiaomi-redmi-pad-7-wi-fi-8256-gb,https://bytelecom.az//media/2025/05/19/product_images/37522/redmi-pad-7-blue-1.jpg,1
"iPad Pro 11"" (M4) 256GB Wi-Fi",7727,2499.00,2699.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/ipad-pro-11-m4-256gb-wi-fi,https://bytelecom.az//media/2025/02/18/product_images/36006/iPad-Pro-11-black-1.jpg,2
iPad 10.9-inch LTE (10th) 64GB,7726,1049.00,1249.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/ipad-109-inch-lte-10th-64gb,https://bytelecom.az//media/2025/02/18/product_images/35994/iPad-10th-64GB-LTE-blue-1.jpg,2
HONOR Pad X8A Wifi (4/64 GB),7496,239.00,289.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,True,https://bytelecom.az/az/products/honor-pad-x8a-wifi-464-gb,https://bytelecom.az//media/2025/01/13/product_images/34295/x8a-grey-1.jpg,2
Samsung Galaxy Tab A9 LTE (4/64 GB),7411,379.00,429.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/samsung-galaxy-tab-a9-lte-464-gb,https://bytelecom.az//media/2024/10/16/product_images/32870/Galaxy-Tab-A9-black-1.jpg,2
Xiaomi Redmi Pad Pro Wifi (8/256 GB),7303,549.00,699.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/xiaomi-redmi-pad-pro-wifi-8256-gb,https://bytelecom.az//media/2024/07/10/product_images/32076/pad-pro-gray-1.jpg,2
"Green Lion G-KID 7 Kid's Learning Tablet 7"" (2/16GB)",7248,139.00,,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/green-lion-g-kid-7-kids-learning-tablet-7-216gb,https://bytelecom.az//media/2024/04/30/product_images/31339/Green-Lion-G-KID-7-dark-blue-1.jpg,2
"Green Lion G-KID 8 Kid's Learning Tablet 8"" (2/64GB)",7247,169.00,,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/green-lion-g-kid-8-kids-learning-tablet-8-264gb,https://bytelecom.az//media/2024/04/30/product_images/31330/Green-Lion-G-KID-8-Dark-blue-1.jpg,2
Samsung Galaxy Tab A9 Wifi (4/64 GB),6995,259.00,289.00,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/samsung-galaxy-tab-a9-464-gb-1,https://bytelecom.az//media/2024/05/22/product_images/31493/tab-a9.jpg,2
iPad Air 5 64 GB Wi-Fi,6475,1549.00,,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/ipad-air-5-64-gb-wi-fi,https://bytelecom.az//media/2023/09/18/product_images/24996/conversions/ipad-air-5-purple-1-thumb-medium.jpg,2
iPad 10.2 (8 Gen) 32 GB,2133,809.00,,İlkin ödənişsiz və Faizsiz; Taksitlə al,False,https://bytelecom.az/az/products/ipad-102-8-gen-32-gb,https://bytelecom.az//media/2022/07/08/product_images/10703/conversions/4-thumb-medium.jpg,2
