name,brand,sku,price_current,price_old,discount_pct,discount_amount,installment,category,url,image_url,page
RedMagic Astra 16/512 GB Eclipse,ZTE,TM-DG-TBQ-1105-TB-0846,1899.99,2.299.99,,400,0% 6 ay,Planşetlər,https://kontakt.az/redmagic-astra-16-512-gb-eclipse,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0846_1.png,1
Oscal Pad 70 Wi-Fi 4/128 GB Space Grey,Oscal,TM-DG-TBQ-1105-TB-0844,219.99,329.99,,110,0% 6 ay,Planşetlər,https://kontakt.az/oscal-pad-70-wi-fi-4-128-gb-space-grey,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0844_1.png,1
Oscal Pad70 Wi-Fi 4/128 GB Blue,Oscal,TM-DG-TBQ-1105-TB-0839,219.99,329.99,,110,0% 6 ay,Planşetlər,https://kontakt.az/oscal-pad70-wi-fi-4-128-gb-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0839_1.png,1
Oscal Pad200 6/128 GB Space Grey,Oscal,TM-DG-TBQ-1105-TB-0838,449.99,649.99,,200,0% 18 ay,Planşetlər,https://kontakt.az/oscal-pad200-6-128-gb-space-grey,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0838_12.png,1
Oscal Pad100 8/256 GB Blue,Oscal,TM-DG-TBQ-1105-TB-0837,499.99,699.99,,200,0% 18 ay,Planşetlər,https://kontakt.az/oscal-pad100-8-256-gb-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0837_1.png,1
Oscal Pad90 Pro 8/256 GB Space Grey,Oscal,TM-DG-TBQ-1105-TB-0836,379.99,549.99,,170,0% 12 ay,Planşetlər,https://kontakt.az/oscal-pad90-pro-8-256-gb-space-grey,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0836_1.png,1
Oscal Pad90 8/128 GB Space Grey,Oscal,TM-DG-TBQ-1105-TB-0835,329.99,449.99,,120,0% 12 ay,Planşetlər,https://kontakt.az/oscal-pad90-8-128-gb-space-grey,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0835_456486.png,1
Oscal Pad9 4/128 GB Blue,Oscal,TM-DG-TBQ-1105-TB-0834,269.99,399.99,,130,0% 12 ay,Planşetlər,https://kontakt.az/oscal-pad9-4-128-gb-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0834_546516.png,1
Oscal Pad60 Kids 4/128 GB Blue,Oscal,TM-DG-TBQ-1105-TB-0833,249.99,349.99,,100,0% 6 ay,Planşetlər,https://kontakt.az/oscal-pad60-kids-4-128-gb-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0833_8965.png,1
Oscal Pad60 Kids 4/128 GB Pink,Oscal,TM-DG-TBQ-1105-TB-0832,249.99,349.99,,100,0% 6 ay,Planşetlər,https://kontakt.az/oscal-pad60-kids-4-128-gb-pink,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0832_1.png,1
Xiaomi Redmi Pad 2 Pro 6/128 GB Gray,Xiaomi,TM-DG-TBQ-1105-TB-0843,499.99,639.99,,140,0% 12 ay,Planşetlər,https://kontakt.az/xiaomi-redmi-pad-2-pro-6-128-gb-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0843_1.png,1
"HONOR Pad V9 8/256 GB W/Case, pen Gray",HONOR,TM-DG-TBQ-1105-TB-0842,799.99,999.99,,200,0% 6 ay,Planşetlər,https://kontakt.az/honor-pad-v9-8-256-gb-w-case-pen-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0842_1.png,1
Xiaomi Redmi Pad 2 4G 8/256 GB Graphite Gray,Xiaomi,TM-DG-TBQ-1105-TB-0841,469.99,549.99,,80,0% 6 ay,Planşetlər,https://kontakt.az/xiaomi-redmi-pad-2-4g-8-256-gb-graphite-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0841_1.png,1
Xiaomi Redmi Pad 2 6/128 GB Graphite Gray,Xiaomi,TM-DG-TBQ-1105-TB-0840,349.99,429.99,,80,0% 6 ay,Planşetlər,https://kontakt.az/xiaomi-redmi-pad-2-6-128-gb-graphite-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0840_1.png,1
Doogee T30 Max 12.4 8/512 GB LTE Black,Doogee,TM-DG-TBQ-1105-TB-0830,699.99,859.99,,160,0% 6 ay,Planşetlər,https://kontakt.az/doogee-t30-max-12-4-8-512-gb-lte-black,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0830_1.png,1
RedMagic Astra 16/512 GB StarFrost,ZTE,TM-DG-TBQ-1105-TB-0829,1899.99,2.299.99,,400,0% 6 ay,Planşetlər,https://kontakt.az/redmagic-astra-16-512-gb-starfrost,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0829_1.png,1
Samsung Galaxy Tab A11+ (SM-X230N) Wi-Fi 6/128 GB Gray,Samsung,TM-DG-TBQ-1105-TB-0828,349.99,449.99,,100,0% 6 ay,Planşetlər,https://kontakt.az/samsung-galaxy-tab-a11-sm-x230n-wifi-6-128-gb-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0828_1.png,1
Samsung Galaxy Tab A11+ (SM-X236B) 5G 6/128 GB Gray,Samsung,TM-DG-TBQ-1105-TB-0827,489.99,629.99,,140,0% 6 ay,Planşetlər,https://kontakt.az/samsung-galaxy-tab-a11-sm-x236b-5g-6-128-gb-gray,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0827_1.png,1
HUAWEI MatePad 12 X PaperMatte Wi-Fi 12/256 GB 53014KPV W/Keyboard White,HUAWEI,TM-DG-TBQ-1105-TB-0825,1199.99,1.399.99,,200,0% 12 ay,Planşetlər,https://kontakt.az/huawei-matepad-12-x-papermatte-wi-fi-12-256-gb-53014kpv-white,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0825_10000.png,1
OPPO Pad 3 8/256 GB OPD2406 Silver,OPPO,TM-DG-TBQ-1105-TB-0817,849.99,999.99,,150,0% 18 ay,Planşetlər,https://kontakt.az/oppo-pad-3-8-256-gb-opd2406-silver,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0817_1_1_.png,1
OPPO Pad SE 6/128 GB OPD2419 Twilight Blue,OPPO,TM-DG-TBQ-1105-TB-0816,479.99,599.99,,120,0% 12 ay,Planşetlər,https://kontakt.az/oppo-pad-se-6-128-gb-opd2419-twilight-blue,https://kontakt.az/media/catalog/product/cache/d5c3506eddb65cd2e8f7539e513db76b/t/m/tm-dg-tbq-1105-tb-0816_1.png,2
