name,product_id,category,price_current,price_old,installment_monthly,installment_term,in_stock,promo_labels,url,image_url,page
Xiaomi Pad 7 8GB/256GB Grey,6594,Planşetlər,799,899,44.39,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/xiaomi-pad-7-8gb-256gb-grey,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=5aebe623-a35e-489c-8b55-83c9494f9b0a.webp,0
Xiaomi Pad 7 8GB/256GB Green,6593,Planşetlər,799,899,44.39,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/xiaomi-pad-7-8gb-256gb-green,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=a61a34cf-5be4-4cc1-aa0d-f89de2870766.webp,0
Xiaomi Pad 7 8GB/256GB Blue,6592,Planşetlər,799,899,44.39,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/xiaomi-pad-7-8gb-256gb-blue,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=7a930966-9625-4e8b-8b3b-d31d59f49e16.webp,0
Blackview Tab MEGA 2 LTE 12GB/256GB Green,6545,Planşetlər,489,599,27.17,18 ay,True,Yalnız online sifarişlə,https://smartelectronics.az/az/mehsullar/blackview-tab-mega-2-lte-12gb-256gb-green,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=471ec9d9-8dd2-48aa-8dca-d25edd162b28.webp,0
Blackview Tab MEGA 2 LTE 12GB/256GB Grey,6544,Planşetlər,489,599,27.17,18 ay,True,Yalnız online sifarişlə,https://smartelectronics.az/az/mehsullar/blackview-tab-mega-2-lte-12gb-256gb-grey,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=f052e4f8-df70-4670-a11d-891fe15fda75.webp,0
Blackview Tab 60 Pro LTE 8GB/128GB Green,6543,Planşetlər,319,399,17.72,18 ay,True,Yalnız online sifarişlə,https://smartelectronics.az/az/mehsullar/blackview-tab-60-pro-lte-8gb-128gb-green,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=6160e244-6e66-46ef-81a5-b007c20ab8b8.webp,0
Blackview Tab 60 Pro LTE 8GB/128GB Grey,6542,Planşetlər,319,399,17.72,18 ay,True,Yalnız online sifarişlə,https://smartelectronics.az/az/mehsullar/blackview-tab-60-pro-lte-8gb-128gb-grey,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=3ffa3e48-c136-4f1b-b364-268ddf1cf59a.png,0
Blackview Tab 90 LTE 8GB/128GB Blue,6541,Planşetlər,299,359,16.61,18 ay,True,Yalnız online sifarişlə,https://smartelectronics.az/az/mehsullar/blackview-tab-90-lte-8gb-128gb-blue,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=1043fed2-5270-47bd-866b-82158cf27d2e.png,0
Blackview Tab 90 LTE 8GB/128GB Black,6540,Planşetlər,299,359,16.61,18 ay,True,Yalnız online sifarişlə,https://smartelectronics.az/az/mehsullar/blackview-tab-90-lte-8gb-128gb-black,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=94525979-08ce-4e1c-9676-58ffc901de39.webp,0
Apple iPad 11-inch (A16) 128 GB Silver,6410,Planşetlər,899,999,49.94,18 ay,True,18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-11-inch--a16--128-gb-silver,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=785f4319-1cdc-452d-b95b-1ef501029713.webp,2
iPad Pro 11-inch (M5) Wi-Fi 256 GB SG Space Black,6407,Planşetlər,2499,2899,138.83,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/ipad-pro-11-inch--m5--wi-fi-256-gb-sg-space-black,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=cbfedf93-52dd-472f-a264-a0caeea902a0.webp,2
iPad Pro 13-inch (M5) Wi-Fi 256 GB SG Space Black,6279,Planşetlər,3339,3799,185.5,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/ipad-pro-13-inch--m5--wi-fi-256-gb-sg-space-black,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=8fc4fa2b-8433-40b0-8997-6a962a5075fe.webp,2
