name,product_id,brand_id,price_current,price_old,discount_pct,discount_amount,installment_6m,installment_12m,installment_18m,in_stock,special_offer,category,url,image_url,offset
BLACKVIEW ZENO 1 6/256GB LTE,20251226041006812,94,349.99,469.99,26%,-120,94.67,52.08,37.83,False,Yalnız onlayn satışla,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20251226041006812-blackview-zeno-1-6-256gb-lte.html,https://soliton.az/images/articles/2025/12/26/thumb400x400-20251226041006812.jpg?2026-01-15+12%3A36%3A12,0
BLACKVIEW TAB 60 PRO Set 8/128GB LTE,20251226030751498,94,399.99,529.99,25%,-130,107,58.75,42.72,False,Yalnız onlayn satışla,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20251226030751498-blackview-tab-60-pro-set-8-128gb-lte.html,https://soliton.az/images/articles/2025/12/26/thumb400x400-20251226030751498.jpg?2025-12-26+16%3A28%3A08,0
BLACKVIEW TAB 20 KIDS WIFI 4/64GB,20251225034346748,94,239.99,319.99,25%,-80,64.5,35.5,25.78,False,Yalnız onlayn satışla,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20251225034346748-blackview-tab-20-kids-wifi-4-64gb.html,https://soliton.az/images/articles/2025/12/25/thumb400x400-20251225034346748.jpg?2025-12-26+16%3A28%3A21,0
BLACKVIEW TAB 20 WIFI 4/64GB,20251225113557770,94,249.99,339.99,26%,-90,68.67,37.75,27.39,False,Yalnız onlayn satışla,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20251225113557770-blackview-tab-20-wifi-4-64gb.html,https://soliton.az/images/articles/2025/12/25/thumb400x400-20251225113557770.jpg?2025-12-26+16%3A31%3A40,0
BLACKVIEW LINK 2 WIFI 4/128GB,20251225110253723,94,269.99,359.99,25%,-90,72.5,39.83,29,False,Yalnız onlayn satışla,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20251225110253723-blackview-link-2-wifi-4-128gb.html,https://soliton.az/images/articles/2025/12/25/thumb400x400-20251225110253723.jpg?2025-12-26+16%3A28%3A32,0
SAMSUNG GALAXY TAB A11 SM-X130 WIFI 8/128GB SILVER,20251016124934378,23,309.99,349.99,11%,-40,63.5,31.75,23.5,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20251016124934378-samsung-galaxy-tab-a11-sm-x130-wifi-8-128gb-silver.html,https://soliton.az/images/articles/2025/10/16/thumb400x400-20251016124934378.jpg?2026-01-31+14%3A41%3A32,0
SAMSUNG GALAXY TAB A11 SM-X130 WIFI 4/64GB SILVER,20251016124027981,23,249.99,279.99,11%,-30,50.83,25.42,18.83,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20251016124027981-samsung-galaxy-tab-a11-sm-x130-wifi-4-64gb-silver.html,https://soliton.az/images/articles/2025/10/16/thumb400x400-20251016124027981.jpg?2026-01-31+14%3A41%3A10,0
HONOR MAGICPAD 2 12/256GB,20251008034158427,93,1349.99,1499.99,10%,-150,302.5,166.25,120.83,False,,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20251008034158427-honor-magicpad-2-12-256gb.html,https://soliton.az/images/articles/2025/10/08/thumb400x400-20251008034158427.jpg?2025-10-08+15%3A43%3A45,0
HONOR Pad X7 4/128GB LTE GRAY,20251008033236281,93,239.99,269.99,11%,-30,49,24.5,18.11,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20251008033236281-honor-pad-x7-4-128gb-lte-gray.html,https://soliton.az/images/articles/2025/10/08/thumb400x400-20251008033236281.jpg?2026-02-11+15%3A45%3A59,0
IPAD AIR 11-INCH (M3) WI-FI 128 GB,20250903103426649,61,1569.99,1699.99,8%,-130,342.83,188.42,136.94,False,,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20250903103426649-ipad-air-11-inch-m3-wi-fi-128-gb.html,https://soliton.az/images/articles/2025/09/03/thumb400x400-20250903103426649.jpg?2025-09-03+10%3A37%3A11,0
